date,seller,region,product,category,quantity,unit_price
2026-01-07,Gabriel Silva,South,Router,Networking,9,326
2026-02-26,Bruno Rodrigues,Central,Headset,Peripherals,1,240
2026-06-28,Sofia Ferreira,East,Headset,Peripherals,3,243
2026-03-28,Ana Barbosa,North,Printer,Office,2,1202
2026-03-30,Ana Souza,East,Mouse,Peripherals,8,94
2026-02-01,Sofia Ferreira,North,External HD,Storage,5,440
2026-06-08,Lucas Barbosa,Central,Notebook,Computers,2,3482
2026-06-19,Daniel Oliveira,East,Keyboard,Peripherals,4,136
2026-04-08,Mariana Souza,West,Desk,Furniture,6,1390
2026-04-05,Lucas Barbosa,South,Desk,Furniture,5,1384
2026-06-05,Daniel Santos,South,External HD,Storage,4,410
2026-04-29,Sofia Ferreira,East,Desk,Furniture,9,1394
2026-06-25,Lucas Barbosa,North,Notebook,Computers,1,3500
2026-04-13,Mariana Souza,North,Notebook,Computers,10,3500
2026-02-24,Daniel Santos,West,Printer,Office,8,1189
2026-03-09,Eduardo Santos,South,Router,Networking,9,334
2026-03-09,Igor Rodrigues,Central,Printer,Office,10,1205
2026-04-03,Daniel Oliveira,South,External HD,Storage,8,405
2026-01-13,Ana Barbosa,South,Desk,Furniture,3,1407
2026-06-02,Ana Barbosa,West,Printer,Office,10,1209
2026-05-16,Mariana Souza,Central,Mouse,Peripherals,2,94
2026-03-10,Daniel Santos,East,Keyboard,Peripherals,5,157
2026-02-10,Bruno Rodrigues,North,Router,Networking,5,332
2026-02-15,Gabriel Silva,North,Desk,Furniture,5,1420
2026-05-10,Ana Souza,South,Monitor,Screens,6,890
2026-05-19,Gabriel Silva,North,Office Chair,Furniture,6,961
2026-01-05,Ana Barbosa,East,Headset,Peripherals,4,233
2026-03-03,Ana Souza,North,Keyboard,Peripherals,8,134
2026-05-17,Eduardo Santos,South,Desk,Furniture,8,1415
2026-02-12,Mariana Souza,Central,Office Chair,Furniture,7,943
2026-05-19,Igor Rodrigues,South,Router,Networking,5,325
2026-06-21,Daniel Santos,East,SSD 1TB,Storage,9,558
2026-01-31,Daniel Oliveira,South,Keyboard,Peripherals,6,131
2026-05-31,Gabriel Silva,South,Office Chair,Furniture,4,930
2026-01-19,Igor Rodrigues,North,Notebook,Computers,2,3482
2026-03-26,Ana Barbosa,Central,Notebook,Computers,5,3511
2026-02-24,Gabriel Silva,South,Router,Networking,10,336
2026-05-02,Daniel Oliveira,West,Printer,Office,4,1186
2026-01-25,Daniel Santos,West,Webcam,Peripherals,7,186
2026-04-30,Igor Rodrigues,North,Desk,Furniture,2,1383
2026-04-14,Igor Rodrigues,East,Keyboard,Peripherals,4,142
2026-02-18,Gabriel Silva,West,Monitor,Screens,7,891
2026-03-13,Bruno Rodrigues,South,Keyboard,Peripherals,8,165
2026-01-26,Lucas Souza,Central,Mouse,Peripherals,2,75
2026-02-12,Sofia Ferreira,West,SSD 1TB,Storage,4,555
2026-01-16,Eduardo Santos,West,Mouse,Peripherals,7,76
2026-04-27,Mariana Souza,West,Router,Networking,9,331
